	meth pos	observed CpG	expected CpG	CpG bias	meth density	median meth %
SpisGene19845	1	212	276.96	0.7655	0.24	0.0
SpisGene19846	0	74	206.99	0.3575	0	0
SpisGene19847	39	143	302.29	0.4731	13.64	88.89
SpisGene19848	0	55	65.41	0.8409	0	0
SpisGene19849	234	324	493.42	0.6566	36.11	67.33
SpisGene19850	167	200	345.07	0.5796	41.75	83.33
SpisGene19851	158	359	619.88	0.5791	22.01	85.71
SpisGene19852	276	152	482.84	0.3148	90.79	88.0
SpisGene19853	0	85	104.57	0.8129	0	0
SpisGene19854	1	57	84.14	0.6774	0.88	0.0
SpisGene19855	0	61	80.45	0.7582	0	0
SpisGene19856	51	366	479.77	0.7629	6.97	14.29
SpisGene19857	0	540	606.68	0.8901	0	0
SpisGene19858	3	185	215.51	0.8584	0.81	15.59
SpisGene19859	0	46	78.23	0.588	0	0
SpisGene19860	4	324	304.26	1.0649	0.62	33.36
SpisGene19861	135	369	241.48	1.5281	18.29	26.09
SpisGene19862	20	165	225.31	0.7323	6.06	9.48
SpisGene19863	0	62	88.05	0.7041	0	0
SpisGene19864	0	79	99.6	0.7932	0	0
SpisGene19865	0	119	121.88	0.9764	0	0
SpisGene19866	0	30	53.79	0.5577	0	0
SpisGene19867	0	164	230.65	0.711	0	0
SpisGene19868	20	98	75.5	1.298	10.2	10.26
SpisGene19869	0	189	216.54	0.8728	0	0
SpisGene19870	0	153	193.23	0.7918	0	0
SpisGene19871	0	31	40.01	0.7748	0	0
SpisGene19872	0	1282	1312.67	0.9766	0	0
SpisGene19873	42	120	155.17	0.7733	17.5	21.37
SpisGene19874	13	1107	1013.14	1.0926	0.59	54.29
SpisGene19875	2	337	345.91	0.9742	0.3	79.76
SpisGene19876	65	55	148.48	0.3704	59.09	88.89
SpisGene19877	88	69	189.63	0.3639	63.77	87.5
SpisGene19878	79	86	117.77	0.7302	45.93	88.89
SpisGene19879	0	275	265.83	1.0345	0	0
SpisGene19880	1	237	218.03	1.087	0.21	5.88
SpisGene19881	96	314	429.83	0.7305	15.29	83.33
SpisGene19882	41	570	650.66	0.876	3.6	14.29
SpisGene19883	78	140	248.39	0.5636	27.86	83.77
SpisGene19884	0	57	62.61	0.9104	0	0
SpisGene19885	0	183	187.3	0.977	0	0
SpisGene19886	0	125	112.85	1.1077	0	0
SpisGene19887	0	30	33.09	0.9066	0	0
SpisGene19888	0	54	61.67	0.8756	0	0
SpisGene19889	0	57	48.36	1.1787	0	0
SpisGene19890	50	219	373.81	0.5859	11.42	75.0
SpisGene19891	0	81	70.92	1.1421	0	0
SpisGene19892	0	197	261.52	0.7533	0	0
SpisGene19893	176	163	193.9	0.8406	53.99	75.0
SpisGene19894	60	383	499.61	0.7666	7.83	82.48
SpisGene19895	0	317	317.21	0.9993	0	0
SpisGene19896	0	59	28.73	2.0536	0	0
SpisGene19897	0	224	315.32	0.7104	0	0
SpisGene19898	66	616	772.76	0.7971	5.36	30.23
SpisGene19899	0	31	62.31	0.4975	0	0
SpisGene19900	0	93	113.06	0.8226	0	0
SpisGene19901	393	468	787.59	0.5942	41.99	85.71
SpisGene19902	0	191	237.19	0.8053	0	0
SpisGene19903	28	172	266.1	0.6464	8.14	46.67
SpisGene19904	7	209	254.76	0.8204	1.67	9.09
SpisGene19905	0	105	119.2	0.8809	0	0
SpisGene19906	0	65	104.61	0.6214	0	0
SpisGene19907	5	356	387.38	0.919	0.7	15.0
SpisGene19908	0	74	31.73	2.3322	0	0
SpisGene19909	2	648	735.16	0.8814	0.15	0.0
SpisGene19910	0	80	86.41	0.9258	0	0
SpisGene19911	66	95	147.05	0.646	34.74	69.62
SpisGene19912	60	42	104.38	0.4024	71.43	84.61
SpisGene19913	47	80	160.11	0.4997	29.38	88.89
SpisGene19914	3	397	466.36	0.8513	0.38	23.53
SpisGene19915	44	742	742.82	0.9989	2.96	11.78
SpisGene19916	134	371	638.34	0.5812	18.06	84.62
SpisGene19917	0	357	352.42	1.013	0	0
SpisGene19918	0	149	182.02	0.8186	0	0
SpisGene19919	0	403	497.61	0.8099	0	0
SpisGene19920	78	136	255.38	0.5325	28.68	80.0
SpisGene19921	96	73	153.89	0.4744	65.75	90.91
SpisGene19922	135	82	103.24	0.7943	82.32	20.0
SpisGene19923	47	57	98.6	0.5781	41.23	23.81
SpisGene19924	20	18	51.71	0.3481	55.56	18.21
SpisGene19925	7	23	39.19	0.5869	15.22	7.14
SpisGene19926	0	110	135.69	0.8107	0	0
SpisGene19927	53	135	164.01	0.8231	19.63	46.15
SpisGene19928	0	47	59.51	0.7898	0	0
SpisGene19929	84	144	339.78	0.4238	29.17	87.5
SpisGene19930	0	101	125.6	0.8041	0	0
SpisGene19931	0	65	85.65	0.7589	0	0
SpisGene19932	76	64	181.18	0.3532	59.38	89.97
SpisGene19933	479	755	1398.67	0.5398	31.72	88.24
SpisGene19934	0	148	187.68	0.7886	0	0
SpisGene19935	17	526	493.87	1.0651	1.62	36.36
SpisGene19936	0	45	66.94	0.6722	0	0
SpisGene19937	0	46	45.36	1.0141	0	0
SpisGene19938	0	19	35.92	0.529	0	0
SpisGene19939	99	371	422.16	0.8788	13.34	55.0
SpisGene19940	37	656	744.31	0.8814	2.82	23.44
SpisGene19941	0	98	108.7	0.9016	0	0
SpisGene19942	9	268	276.92	0.9678	1.68	19.05
SpisGene19943	120	793	802.29	0.9884	7.57	22.25
SpisGene19944	0	22	60.93	0.3611	0	0
SpisGene19945	4	593	716.23	0.8279	0.34	1.35
SpisGene19946	6	85	122.04	0.6965	3.53	80.79
SpisGene19947	0	90	120.88	0.7445	0	0
SpisGene19948	0	30	36.56	0.8206	0	0
SpisGene19949	0	71	68.95	1.0297	0	0
SpisGene19950	521	694	1484.12	0.4676	37.54	87.5
SpisGene19951	18	28	100.79	0.2778	32.14	39.44
SpisGene19952	510	746	773.26	0.9647	34.18	66.67
SpisGene19953	31	99	97.17	1.0188	15.66	6.85
SpisGene19954	40	383	435.16	0.8801	5.22	22.63
SpisGene19955	0	86	90.86	0.9465	0	0
SpisGene19956	0	101	115.06	0.8778	0	0
SpisGene19957	0	57	59.44	0.959	0	0
SpisGene19958	1	376	291.06	1.2918	0.13	3.33
SpisGene19959	0	363	347.69	1.044	0	0
SpisGene19960	2	481	532.87	0.9027	0.21	0.0
SpisGene19961	1	481	623.2	0.7718	0.1	0.0
SpisGene19962	0	159	188.29	0.8444	0	0
SpisGene19963	106	128	256.03	0.4999	41.41	46.61
SpisGene19964	120	93	112.31	0.8281	64.52	33.33
SpisGene19965	13	279	222.05	1.2565	2.33	25.0
SpisGene19966	0	61	60.7	1.0049	0	0
SpisGene19967	0	176	202.84	0.8677	0	0
SpisGene19968	0	82	159.92	0.5128	0	0
SpisGene19969	0	69	107.4	0.6425	0	0
SpisGene19970	0	406	462.35	0.8781	0	0
SpisGene19971	0	300	286.69	1.0464	0	0
SpisGene19972	8	126	146.1	0.8624	3.17	8.35
SpisGene19973	7	89	56.59	1.5727	3.93	12.2
SpisGene19974	19	135	117.61	1.1479	7.04	11.36
SpisGene19975	0	94	98.05	0.9587	0	0
SpisGene19976	44	431	719.0	0.5994	5.1	15.05
SpisGene19977	42	217	197.33	1.0997	9.68	20.71
SpisGene19978	0	134	164.81	0.8131	0	0
SpisGene19979	0	247	275.26	0.8973	0	0
SpisGene19980	0	33	52.15	0.6328	0	0
SpisGene19981	0	265	285.47	0.9283	0	0
SpisGene19982	0	33	48.34	0.6827	0	0
SpisGene19983	0	232	156.4	1.4834	0	0
SpisGene19984	26	531	546.26	0.9721	2.45	5.96
SpisGene19985	0	307	332.85	0.9223	0	0
SpisGene19986	0	278	405.18	0.6861	0	0
SpisGene19987	0	324	450.71	0.7189	0	0
SpisGene19988	0	59	58.15	1.0146	0	0
SpisGene19989	16	588	732.68	0.8025	1.36	22.22
SpisGene19990	0	50	56.26	0.8887	0	0
SpisGene19991	0	304	339.0	0.8968	0	0
SpisGene19992	0	151	171.88	0.8785	0	0
SpisGene19993	142	309	450.52	0.6859	22.98	46.67
SpisGene19994	60	534	587.68	0.9087	5.62	18.18
SpisGene19995	259	421	714.76	0.589	30.76	84.62
SpisGene19996	62	72	130.08	0.5535	43.06	90.0
SpisGene19997	242	408	639.72	0.6378	29.66	80.0
SpisGene19998	0	114	116.8	0.976	0	0
SpisGene19999	82	43	142.28	0.3022	95.35	86.66
SpisGene20000	90	267	400.99	0.6659	16.85	17.06
SpisGene20001	0	52	93.04	0.5589	0	0
SpisGene20002	0	135	184.35	0.7323	0	0
SpisGene20003	0	35	34.62	1.011	0	0
SpisGene20004	6	1089	1146.26	0.95	0.28	6.25
SpisGene20005	0	901	997.37	0.9034	0	0
SpisGene20006	0	26	26.9	0.9665	0	0
SpisGene20007	26	363	287.72	1.2616	3.58	11.65
SpisGene20008	0	374	428.46	0.8729	0	0
SpisGene20010	71	165	191.3	0.8625	21.52	6.31
SpisGene20011	38	74	112.9	0.6554	25.68	60.86
SpisGene20012	24	63	59.46	1.0595	19.05	30.6
SpisGene20013	16	8	41.5	0.1928	100.0	67.12
SpisGene20014	32	32	94.28	0.3394	50.0	76.97
SpisGene20015	0	174	189.31	0.9191	0	0
SpisGene20016	0	33	45.92	0.7186	0	0
SpisGene20017	0	255	108.29	2.3548	0	0
SpisGene20018	78	130	258.02	0.5038	30.0	88.19
SpisGene20019	28	43	79.47	0.5411	32.56	92.58
SpisGene20020	39	185	276.84	0.6683	10.54	61.54
SpisGene20021	97	210	351.25	0.5979	23.1	41.18
SpisGene20022	43	87	178.31	0.4879	24.71	45.83
SpisGene20023	0	223	297.99	0.7483	0	0
SpisGene20024	22	2071	2528.03	0.8192	0.53	23.67
SpisGene20025	0	106	79.05	1.3409	0	0
SpisGene20026	0	858	1009.59	0.8498	0	0
SpisGene20027	32	40	16.4	2.439	40.0	9.43
SpisGene20028	0	138	146.2	0.9439	0	0
SpisGene20029	22	210	141.09	1.4884	5.24	56.94
SpisGene20030	0	481	535.85	0.8976	0	0
SpisGene20031	5	321	366.23	0.8765	0.78	22.73
SpisGene20032	1	231	213.9	1.0799	0.22	4.17
SpisGene20033	0	72	82.41	0.8737	0	0
SpisGene20034	0	393	391.15	1.0047	0	0
SpisGene20035	105	564	655.64	0.8602	9.31	83.33
SpisGene20036	50	455	557.46	0.8162	5.49	51.32
SpisGene20037	16	298	324.17	0.9193	2.68	27.64
SpisGene20038	0	81	94.82	0.8543	0	0
SpisGene20039	1	14	47.8	0.2929	3.57	10.64
SpisGene20040	0	280	337.02	0.8308	0	0
SpisGene20041	0	567	706.49	0.8026	0	0
SpisGene20042	28	20	110.81	0.1805	70.0	72.2
SpisGene20043	75	122	230.5	0.5293	30.74	80.0
SpisGene20044	56	149	333.69	0.4465	18.79	84.62
SpisGene20045	0	193	181.75	1.0619	0	0
SpisGene20046	3	108	50.35	2.145	1.39	6.52
SpisGene20047	0	123	151.66	0.811	0	0
SpisGene20048	0	329	353.05	0.9319	0	0
SpisGene20050	0	162	237.94	0.6808	0	0
SpisGene20051	0	737	886.72	0.8312	0	0
SpisGene20052	0	138	163.5	0.844	0	0
SpisGene20053	0	53	55.55	0.9541	0	0
SpisGene20054	8	60	127.43	0.4708	6.67	12.64
SpisGene20055	0	647	719.09	0.8997	0	0
SpisGene20056	0	59	95.75	0.6162	0	0
SpisGene20057	0	117	168.7	0.6935	0	0
SpisGene20058	0	9	22.52	0.3996	0	0
SpisGene20059	0	94	181.82	0.517	0	0
SpisGene20060	2	60	68.49	0.876	1.67	2.68
SpisGene20061	0	51	45.68	1.1165	0	0
SpisGene20062	0	152	108.58	1.3999	0	0
SpisGene20063	0	314	274.32	1.1446	0	0
SpisGene20064	0	93	86.65	1.0733	0	0
SpisGene20065	0	54	56.56	0.9547	0	0
SpisGene20066	0	24	35.4	0.678	0	0
SpisGene20067	0	62	111.12	0.558	0	0
SpisGene20068	8	39	148.97	0.2618	10.26	74.17
SpisGene20069	48	126	303.21	0.4156	19.05	59.41
SpisGene20070	52	57	188.2	0.3029	45.61	89.74
SpisGene20071	127	135	197.51	0.6835	47.04	87.5
SpisGene20072	61	115	248.85	0.4621	26.52	91.67
SpisGene20073	0	162	227.57	0.7119	0	0
SpisGene20074	0	189	188.92	1.0004	0	0
SpisGene20075	0	300	272.65	1.1003	0	0
SpisGene20076	50	159	235.0	0.6766	15.72	44.51
SpisGene20077	115	216	447.02	0.4832	26.62	81.82
SpisGene20078	0	146	75.35	1.9376	0	0
SpisGene20079	51	167	222.58	0.7503	15.27	7.31
SpisGene20080	12	436	535.42	0.8143	1.38	12.59
SpisGene20081	0	115	169.17	0.6798	0	0
SpisGene20082	0	53	71.16	0.7448	0	0
SpisGene20083	0	86	107.5	0.8	0	0
SpisGene20084	0	58	71.85	0.8072	0	0
SpisGene20085	0	37	52.83	0.7004	0	0
SpisGene20086	0	58	66.49	0.8723	0	0
SpisGene20087	2	207	218.39	0.9478	0.48	25.34
SpisGene20088	0	150	187.99	0.7979	0	0
SpisGene20089	0	299	254.02	1.1771	0	0
SpisGene20090	0	540	624.76	0.8643	0	0
SpisGene20091	27	360	379.95	0.9475	3.75	12.9
SpisGene20092	13	414	443.38	0.9337	1.57	8.33
SpisGene20093	0	16	44.6	0.3587	0	0
SpisGene20094	178	143	223.29	0.6404	62.24	34.31
SpisGene20095	116	98	146.67	0.6682	59.18	33.33
SpisGene20096	1	25	55.79	0.4481	2.0	60.0
SpisGene20097	16	18	63.0	0.2857	44.44	55.62
SpisGene20098	0	89	112.61	0.7903	0	0
SpisGene20099	0	261	292.05	0.8937	0	0
SpisGene20100	0	67	71.41	0.9382	0	0
SpisGene20101	0	136	131.89	1.0312	0	0
SpisGene20102	19	877	1046.4	0.8381	1.08	11.11
SpisGene20103	0	175	228.92	0.7645	0	0
SpisGene20104	0	25	61.97	0.4034	0	0
SpisGene20105	34	53	47.67	1.1118	32.08	7.5
SpisGene20106	177	257	381.52	0.6736	34.44	78.79
SpisGene20107	133	144	155.29	0.9273	46.18	54.55
SpisGene20108	26	45	86.2	0.522	28.89	36.6
SpisGene20109	113	185	277.47	0.6667	30.54	43.75
SpisGene20110	539	515	676.06	0.7618	52.33	21.43
SpisGene20111	41	25	29.49	0.8477	82.0	27.78
SpisGene20112	14	9	35.98	0.2501	77.78	20.71
SpisGene20113	3	79	88.96	0.888	1.9	25.0
SpisGene20114	2	280	264.37	1.0591	0.36	0.0
SpisGene20115	0	32	38.9	0.8226	0	0
SpisGene20116	0	29	33.36	0.8693	0	0
SpisGene20117	90	71	143.84	0.4936	63.38	82.29
SpisGene20118	75	64	151.08	0.4236	58.59	86.67
SpisGene20119	11	21	58.17	0.361	26.19	30.77
SpisGene20120	404	248	737.64	0.3362	81.45	84.62
SpisGene20121	6	41	65.63	0.6247	7.32	60.13
SpisGene20122	122	119	322.44	0.3691	51.26	88.89
SpisGene20123	0	60	213.99	0.2804	0	0
SpisGene20124	12	479	444.71	1.0771	1.25	36.93
SpisGene20125	120	411	555.58	0.7398	14.6	57.14
SpisGene20126	0	178	173.49	1.026	0	0
SpisGene20127	156	210	443.82	0.4732	37.14	86.67
SpisGene20128	0	371	401.63	0.9237	0	0
SpisGene20129	0	97	114.1	0.8501	0	0
SpisGene20130	0	31	34.82	0.8903	0	0
SpisGene20131	0	64	85.64	0.7473	0	0
SpisGene20132	53	49	69.32	0.7069	54.08	20.0
SpisGene20133	86	113	187.23	0.6035	38.05	78.89
SpisGene20134	0	67	64.24	1.043	0	0
SpisGene20135	0	83	116.55	0.7121	0	0
SpisGene20136	16	21	74.51	0.2818	38.1	51.09
SpisGene20137	0	63	71.8	0.8774	0	0
SpisGene20138	0	427	388.28	1.0997	0	0
SpisGene20139	0	157	166.06	0.9454	0	0
SpisGene20140	0	111	123.28	0.9004	0	0
SpisGene20141	0	306	343.65	0.8904	0	0
SpisGene20142	0	49	67.42	0.7268	0	0
SpisGene20143	0	31	80.93	0.383	0	0
SpisGene20144	2	40	95.27	0.4199	2.5	11.62
SpisGene20145	18	564	659.05	0.8558	1.6	2.55
SpisGene20146	0	59	60.99	0.9674	0	0
SpisGene20147	0	81	85.16	0.9512	0	0
SpisGene20148	0	103	107.29	0.96	0	0
SpisGene20149	0	33	35.8	0.9218	0	0
SpisGene20150	0	10	12.44	0.8039	0	0
SpisGene20151	0	155	186.87	0.8295	0	0
SpisGene20152	0	272	327.9	0.8295	0	0
SpisGene20153	0	197	256.26	0.7688	0	0
SpisGene20154	0	299	343.51	0.8704	0	0
SpisGene20155	0	279	351.46	0.7938	0	0
SpisGene20156	3	234	272.96	0.8573	0.64	8.33
SpisGene20157	0	22	25.07	0.8775	0	0
SpisGene20158	51	480	491.98	0.9756	5.31	43.14
SpisGene20159	233	1356	1585.07	0.8555	8.59	85.71
SpisGene20160	6	19	54.93	0.3459	15.79	14.5
SpisGene20161	112	254	472.14	0.538	22.05	58.72
SpisGene20162	2	84	136.23	0.6166	1.19	19.5
SpisGene20163	153	976	1027.72	0.9497	7.84	80.0
SpisGene20164	51	125	161.98	0.7717	20.4	88.24
SpisGene20165	0	218	326.69	0.6673	0	0
SpisGene20166	343	201	556.41	0.3612	85.32	87.5
SpisGene20167	75	53	178.17	0.2975	70.75	85.71
SpisGene20168	0	304	202.0	1.505	0	0
SpisGene20169	0	183	137.6	1.3299	0	0
SpisGene20170	0	144	136.82	1.0525	0	0
SpisGene20171	0	126	105.28	1.1968	0	0
SpisGene20172	0	88	79.18	1.1114	0	0
SpisGene20173	0	60	59.28	1.0121	0	0
SpisGene20174	21	30	77.45	0.3873	35.0	83.33
SpisGene20175	122	94	143.43	0.6554	64.89	90.91
SpisGene20176	132	347	616.18	0.5631	19.02	16.67
SpisGene20177	110	282	401.41	0.7025	19.5	58.96
SpisGene20178	0	17	71.13	0.239	0	0
SpisGene20179	0	290	330.32	0.8779	0	0
SpisGene20180	339	365	652.57	0.5593	46.44	87.5
SpisGene20181	88	47	158.01	0.2974	93.62	90.24
SpisGene20182	108	65	191.32	0.3397	83.08	79.47
SpisGene20183	2	345	389.95	0.8847	0.29	13.75
SpisGene20184	0	310	274.64	1.1288	0	0
SpisGene20185	0	129	137.31	0.9395	0	0
SpisGene20186	16	149	195.58	0.7618	5.37	7.41
SpisGene20187	21	126	136.08	0.9259	8.33	10.53
SpisGene20188	48	422	458.79	0.9198	5.69	42.86
SpisGene20189	0	105	113.11	0.9283	0	0
SpisGene20190	0	7	9.85	0.7107	0	0
SpisGene20191	0	228	245.86	0.9274	0	0
SpisGene20192	48	311	289.43	1.0745	7.72	83.67
SpisGene20193	78	285	411.27	0.693	13.68	55.28
SpisGene20194	0	566	563.17	1.005	0	0
SpisGene20195	52	555	734.63	0.7555	4.68	91.99
SpisGene20196	110	437	566.07	0.772	12.59	80.0
SpisGene20197	98	486	466.72	1.0413	10.08	87.08
SpisGene20198	0	120	147.6	0.813	0	0
SpisGene20199	66	70	151.22	0.4629	47.14	90.45
SpisGene20200	77	131	210.97	0.6209	29.39	84.62
SpisGene20201	56	29	71.74	0.4042	96.55	37.5
SpisGene20202	60	85	182.51	0.4657	35.29	87.87
SpisGene20203	133	101	200.4	0.504	65.84	66.67
SpisGene20204	4	213	187.51	1.1359	0.94	9.73
SpisGene20205	0	136	208.49	0.6523	0	0
SpisGene20206	0	284	125.19	2.2686	0	0
SpisGene20207	79	181	274.65	0.659	21.82	84.62
SpisGene20208	60	143	232.0	0.6164	20.98	74.17
SpisGene20209	0	308	331.38	0.9294	0	0
SpisGene20210	0	230	276.22	0.8327	0	0
SpisGene20211	0	257	271.73	0.9458	0	0
SpisGene20212	0	174	233.84	0.7441	0	0
SpisGene20213	0	56	72.06	0.7771	0	0
SpisGene20214	42	39	78.59	0.4962	53.85	32.99
SpisGene20215	63	47	71.74	0.6551	67.02	11.43
SpisGene20216	22	706	759.33	0.9298	1.56	6.98
SpisGene20217	12	1799	2136.4	0.8421	0.33	22.5
SpisGene20218	0	287	299.66	0.9578	0	0
SpisGene20219	0	163	212.37	0.7675	0	0
SpisGene20220	38	2076	2176.9	0.9536	0.92	22.22
SpisGene20221	0	97	100.57	0.9645	0	0
SpisGene20222	1256	784	1714.29	0.4573	80.1	58.82
SpisGene20223	3	58	141.24	0.4106	2.59	87.5
SpisGene20224	464	485	815.23	0.5949	47.84	37.5
SpisGene20225	61	406	448.19	0.9059	7.51	76.47
SpisGene20226	0	34	40.9	0.8313	0	0
SpisGene20227	160	169	279.79	0.604	47.34	87.5
SpisGene20228	43	133	231.62	0.5742	16.17	85.0
SpisGene20229	123	192	363.44	0.5283	32.03	88.89
SpisGene20230	58	97	155.79	0.6226	29.9	92.31
SpisGene20231	15	9	39.7	0.2267	83.33	100.0
SpisGene20232	124	1191	1234.95	0.9644	5.21	77.78
SpisGene20233	182	677	1188.33	0.5697	13.44	83.33
SpisGene20234	40	281	285.01	0.9859	7.12	29.41
SpisGene20235	5	245	279.78	0.8757	1.02	6.67
SpisGene20236	143	82	234.57	0.3496	87.2	84.62
SpisGene20237	232	1212	1544.4	0.7848	9.57	31.93
SpisGene20238	39	267	265.71	1.0049	7.3	17.39
SpisGene20239	93	196	184.69	1.0612	23.72	15.38
SpisGene20240	0	285	352.9	0.8076	0	0
SpisGene20241	174	357	497.57	0.7175	24.37	30.9
SpisGene20242	0	132	161.04	0.8197	0	0
SpisGene20243	0	204	271.86	0.7504	0	0
SpisGene20244	2	228	289.91	0.7865	0.44	14.97
SpisGene20245	0	122	123.39	0.9887	0	0
SpisGene20246	0	63	68.96	0.9136	0	0
SpisGene20247	115	113	242.1	0.4667	50.88	52.38
SpisGene20248	75	103	217.17	0.4743	36.41	75.0
SpisGene20249	29	334	435.32	0.7673	4.34	38.1
SpisGene20250	0	456	482.74	0.9446	0	0
SpisGene20251	13	183	205.67	0.8898	3.55	5.45
SpisGene20252	36	134	234.42	0.5716	13.43	84.62
SpisGene20253	164	1223	1651.87	0.7404	6.7	65.86
SpisGene20254	3	228	189.52	1.203	0.66	15.38
SpisGene20255	0	60	102.61	0.5847	0	0
SpisGene20256	4	1361	1475.9	0.9221	0.15	13.85
SpisGene20257	79	138	192.76	0.7159	28.62	72.73
SpisGene20258	47	272	323.11	0.8418	8.64	84.62
SpisGene20259	0	53	54.73	0.9684	0	0
SpisGene20260	84	374	490.18	0.763	11.23	88.56
SpisGene20261	246	290	743.12	0.3902	42.41	84.81
SpisGene20262	22	354	356.43	0.9932	3.11	13.16
SpisGene20263	15	9	18.31	0.4915	83.33	10.32
SpisGene20264	167	529	887.13	0.5963	15.78	36.36
SpisGene20265	4	1757	1856.82	0.9462	0.11	14.64
SpisGene20266	0	232	246.93	0.9395	0	0
SpisGene20267	0	47	63.2	0.7437	0	0
SpisGene20268	3	25	59.7	0.4188	6.0	0.0
SpisGene20269	337	340	794.42	0.428	49.56	85.71
SpisGene20270	36	426	485.08	0.8782	4.23	66.67
SpisGene20271	0	534	530.32	1.0069	0	0
SpisGene20272	0	190	241.59	0.7865	0	0
SpisGene20273	14	44	69.89	0.6296	15.91	30.78
SpisGene20274	189	143	240.77	0.5939	66.08	36.84
SpisGene20275	228	190	198.35	0.9579	60.0	86.67
SpisGene20276	241	141	318.23	0.4431	85.46	75.0
SpisGene20277	125	73	114.99	0.6348	85.62	81.25
SpisGene20278	9	34	57.34	0.593	13.24	90.48
SpisGene20279	259	153	288.9	0.5296	84.64	66.67
SpisGene20280	268	201	452.36	0.4443	66.67	87.5
SpisGene20281	62	32	76.6	0.4178	96.88	85.71
SpisGene20282	0	247	336.07	0.735	0	0
SpisGene20283	0	150	179.25	0.8368	0	0
SpisGene20284	0	127	137.25	0.9253	0	0
SpisGene20285	0	217	204.08	1.0633	0	0
SpisGene20286	30	257	214.61	1.1975	5.84	77.38
SpisGene20287	32	168	274.14	0.6128	9.52	90.28
SpisGene20288	0	51	55.82	0.9137	0	0
SpisGene20289	0	341	367.01	0.9291	0	0
SpisGene20290	0	92	108.37	0.8489	0	0
SpisGene20291	185	140	249.8	0.5604	66.07	82.35
SpisGene20292	77	158	303.1	0.5213	24.37	85.71
SpisGene20293	0	198	204.72	0.9672	0	0
SpisGene20294	109	264	514.88	0.5127	20.64	88.89
SpisGene20295	43	118	212.87	0.5543	18.22	46.43
SpisGene20296	0	107	120.55	0.8876	0	0
SpisGene20297	0	52	50.11	1.0377	0	0
SpisGene20298	56	237	358.93	0.6603	11.81	91.67
SpisGene20299	10	117	160.02	0.7312	4.27	83.77
SpisGene20300	0	22	34.88	0.6307	0	0
SpisGene20301	70	102	189.22	0.5391	34.31	75.0
SpisGene20302	18	9	44.14	0.2039	100.0	72.71
SpisGene20303	7	90	107.87	0.8343	3.89	10.0
SpisGene20304	209	200	429.06	0.4661	52.25	85.71
SpisGene20305	44	22	55.2	0.3986	100.0	80.0
SpisGene20306	158	287	399.87	0.7177	27.53	77.53
SpisGene20307	24	868	1001.43	0.8668	1.38	12.25
SpisGene20308	0	98	110.3	0.8885	0	0
SpisGene20309	6	350	403.61	0.8672	0.86	27.14
SpisGene20310	160	215	370.7	0.58	37.21	84.62
SpisGene20311	14	19	53.25	0.3568	36.84	78.89
SpisGene20312	0	130	129.56	1.0034	0	0
SpisGene20313	0	119	179.0	0.6648	0	0
SpisGene20314	0	64	84.36	0.7587	0	0
SpisGene20315	0	5	33.11	0.151	0	0
SpisGene20316	44	581	596.44	0.9741	3.79	12.35
SpisGene20317	3	145	249.56	0.581	1.03	33.33
SpisGene20318	0	40	57.72	0.693	0	0
SpisGene20319	0	84	139.0	0.6043	0	0
SpisGene20320	0	14	14.06	0.9957	0	0
SpisGene20321	4	139	144.47	0.9621	1.44	11.02
SpisGene20322	0	93	119.07	0.7811	0	0
SpisGene20323	0	246	255.88	0.9614	0	0
SpisGene20324	0	59	93.85	0.6287	0	0
SpisGene20325	15	533	658.78	0.8091	1.41	28.57
SpisGene20326	0	98	123.94	0.7907	0	0
SpisGene20327	138	338	553.48	0.6107	20.41	76.56
SpisGene20328	0	235	229.49	1.024	0	0
SpisGene20329	9	353	375.32	0.9405	1.27	10.17
SpisGene20330	0	64	93.93	0.6814	0	0
SpisGene20331	104	197	325.76	0.6047	26.4	78.02
SpisGene20332	0	366	367.17	0.9968	0	0
SpisGene20333	0	207	231.1	0.8957	0	0
SpisGene20334	2	121	125.07	0.9675	0.83	7.17
SpisGene20335	6	115	120.91	0.9511	2.61	3.39
SpisGene20336	10	653	576.33	1.133	0.77	12.08
SpisGene20337	44	63	154.1	0.4088	34.92	16.78
SpisGene20338	0	34	51.67	0.658	0	0
SpisGene20339	0	265	254.62	1.0408	0	0
SpisGene20340	28	103	129.0	0.7984	13.59	5.05
SpisGene20341	0	252	307.01	0.8208	0	0
SpisGene20342	0	26	44.54	0.5837	0	0
SpisGene20343	0	27	45.04	0.5995	0	0
SpisGene20344	0	41	93.72	0.4375	0	0
SpisGene20345	7	29	101.25	0.2864	12.07	34.07
SpisGene20346	30	43	99.68	0.4314	34.88	30.56
SpisGene20347	0	17	19.38	0.8772	0	0
SpisGene20348	44	98	111.98	0.8752	22.45	78.89
SpisGene20349	375	726	1446.48	0.5019	25.83	87.5
SpisGene20350	39	218	234.7	0.9288	8.94	42.11
SpisGene20351	0	122	69.44	1.7569	0	0
SpisGene20352	0	616	504.64	1.2207	0	0
SpisGene20353	0	628	805.56	0.7796	0	0
SpisGene20354	444	299	324.22	0.9222	74.25	50.0
SpisGene20355	56	29	50.77	0.5712	96.55	85.16
SpisGene20356	477	399	762.72	0.5231	59.77	72.22
SpisGene20357	0	132	150.7	0.8759	0	0
SpisGene20358	0	134	145.54	0.9207	0	0
SpisGene20359	0	162	165.96	0.9761	0	0
SpisGene20360	0	115	130.34	0.8823	0	0
SpisGene20361	6	180	185.78	0.9689	1.67	7.78
